iter	RMSE
0	0.9654233398
1	0.9417754631
2	0.9256996672
3	0.9145978837
4	0.9070726175
5	0.9018752444
6	0.8984177339
7	0.8958891505
8	0.8941588821
9	0.8928973207
10	0.8920555054
11	0.8913663483
12	0.8908925664
13	0.8905077176
14	0.8902410952
15	0.8900491119
16	0.8898959335
17	0.8897595042
18	0.8896473074
19	0.8895666031
20	0.8894843865
21	0.8894212702
22	0.8893825821
23	0.8893433293
24	0.8893024157
25	0.8892736148
26	0.8892479444
27	0.8892291126
28	0.8892138798
29	0.8891992702
30	0.8891877665
31	0.8891712879
32	0.8891604924
33	0.8891505547
34	0.8891449112
35	0.8891386863
36	0.8891309336
37	0.8891258235
38	0.8891215419
39	0.8891144251
40	0.8891103412
41	0.8891073989
42	0.889103331
43	0.8891006827
44	0.8890934967
45	0.8890905308
46	0.8890877189
47	0.8890860635
48	0.8890840189
49	0.8890803052
50	0.8890768424
51	0.8890737082
52	0.8890719695
53	0.8890699471
54	0.8890678282
55	0.889066917
56	0.8890654134
57	0.8890637774
58	0.8890613246
59	0.8890590978
60	0.8890571592
61	0.8890556643
62	0.8890544522
63	0.8890521383
64	0.8890511975
65	0.8890501327
66	0.8890470357
67	0.8890454811
68	0.8890435909
69	0.889042786
70	0.8890417402
71	0.8890411022
72	0.889040457
73	0.8890388667
74	0.8890378079
75	0.8890361014
76	0.8890353917
77	0.8890348671
78	0.8890338344
79	0.8890334414
80	0.8890325259
81	0.8890315988
82	0.8890305502
83	0.8890294176
84	0.8890268207
85	0.8890263127
86	0.8890243306
87	0.8890233589
88	0.8890220964
89	0.8890217342
90	0.8890206324
91	0.8890197825
92	0.8890189174
93	0.8890183919
94	0.8890176335
95	0.889015821
96	0.8890147354
97	0.8890143483
98	0.8890133609
99	0.8890122979
100	0.8890113699
101	0.889010281
102	0.8890095792
103	0.8890089729
104	0.8890080663
105	0.8890078144
106	0.8890072374
107	0.8890069142
108	0.8890064803
109	0.889005723
110	0.8890049962
111	0.8890039972
112	0.8890035004
113	0.8890032091
114	0.8890026885
115	0.8890023952
116	0.8890019654
117	0.8890015106
118	0.8890006644
119	0.8890002103
120	0.8889995573
121	0.8889984186
122	0.8889982529
123	0.8889981575
124	0.8889975015
125	0.8889966697
126	0.8889965408
127	0.8889964365
128	0.8889960738
129	0.8889956663
130	0.8889952713
131	0.8889947401
132	0.8889942512
133	0.8889941353
134	0.8889940831
135	0.8889934346
136	0.888992887
137	0.8889924219
138	0.8889921529
139	0.8889919394
140	0.8889916552
141	0.8889915321
142	0.8889914773
143	0.8889911961
144	0.8889908227
145	0.8889906272
146	0.8889905593
147	0.8889901398
148	0.8889895462
149	0.8889893796
150	0.8889893267
151	0.888989033
152	0.8889887558
153	0.8889884374
154	0.8889881006
155	0.8889880017
156	0.8889877989
157	0.8889874542
158	0.8889872901
159	0.8889872151
160	0.888987008
161	0.8889868546
162	0.8889867727
163	0.888986545
164	0.8889863923
165	0.8889860689
166	0.8889860069
167	0.8889858722
168	0.888985648
169	0.8889853882
170	0.8889853181
171	0.8889850678
172	0.8889848805
173	0.8889846563
174	0.8889845684
175	0.888984417
176	0.8889841923
177	0.8889841028
178	0.8889840741
179	0.8889837192
180	0.8889835419
181	0.8889834133
182	0.888983353
183	0.8889832613
184	0.8889830714
185	0.8889829548
186	0.8889828642
187	0.8889828008
188	0.8889827608
189	0.8889827346
190	0.8889826844
191	0.8889825264
192	0.8889824328
193	0.8889821527
194	0.888982127
195	0.8889819655
196	0.8889819332
197	0.8889818814
198	0.8889817478
199	0.8889815176
200	0.8889814971
201	0.8889814531
202	0.8889814037
203	0.8889813544
204	0.8889812377
205	0.8889810631
206	0.8889810235
207	0.8889808431
208	0.8889806654
209	0.8889805555
210	0.888980422
211	0.8889801813
212	0.8889801535
213	0.8889800572
214	0.8889799809
215	0.8889798258
216	0.8889797779
217	0.8889797655
218	0.8889797458
219	0.888979661
220	0.8889796128
221	0.8889796057
222	0.8889795712
223	0.88897956
224	0.8889795156
225	0.8889793257
226	0.888979148
227	0.8889791074
228	0.8889790492
229	0.8889789267
230	0.888978898
231	0.8889788843
232	0.8889787149
233	0.8889786646
234	0.8889785396
235	0.8889785159
236	0.8889784559
237	0.8889784439
238	0.8889783467
239	0.8889782482
240	0.8889781192
241	0.88897804
242	0.8889779795
243	0.8889779029
244	0.8889778635
245	0.8889777135
246	0.8889776759
247	0.8889775983
248	0.888977542
249	0.8889774811
250	0.888977462
251	0.888977355
252	0.8889773399
253	0.8889772018
254	0.8889771778
255	0.8889770766
256	0.8889770414
257	0.8889770343
258	0.8889770229
259	0.8889770049
260	0.8889769875
261	0.8889769666
262	0.8889769601
263	0.8889768999
264	0.8889768441
265	0.888976791
266	0.8889767853
267	0.8889767495
268	0.8889767402
269	0.8889767054
270	0.8889766329
271	0.8889765689
272	0.8889765371
273	0.8889764443
274	0.8889764046
275	0.8889763731
276	0.888976337
277	0.8889762863
278	0.8889762639
279	0.8889762413
280	0.888976182
281	0.8889761702
282	0.8889760888
283	0.8889760839
284	0.8889760751
285	0.8889760073
286	0.8889759708
287	0.888975959
288	0.8889759488
289	0.8889759201
290	0.8889759133
