iter	Passed	Remaining
0	6167	6161791
1	11011	5494975
2	15206	5053641
3	19085	4752257
4	23355	4647790
5	26747	4431210
6	29955	4249364
7	34438	4270430
8	39104	4305835
9	43137	4270653
10	47354	4257571
11	52695	4338634
12	57146	4338714
13	61232	4312546
14	65996	4333764
15	70568	4339990
16	74833	4327113
17	83008	4528568
18	86894	4486506
19	90952	4456653
20	96088	4479555
21	101451	4509972
22	106445	4521623
23	112362	4569388
24	115773	4515177
25	119770	4486805
26	123357	4445452
27	126443	4389402
28	131022	4386978
29	134841	4359871
30	138438	4327309
31	142213	4301953
32	146862	4303519
33	151909	4316002
34	156170	4305836
35	160310	4292765
36	163008	4242626
37	167936	4251448
38	171824	4233932
39	176302	4231263
40	180754	4227895
41	187129	4268335
42	191896	4270813
43	195568	4249171
44	198593	4214595
45	201925	4187749
46	205541	4167674
47	209496	4155010
48	213321	4140170
49	218074	4143418
50	221840	4127965
51	225906	4118451
52	229969	4109086
53	234050	4100218
54	238314	4094674
55	241584	4072428
56	244990	4053092
57	249147	4046505
58	253588	4044518
59	257296	4030972
60	260642	4012192
61	264124	3995945
62	267292	3975445
63	270234	3952172
64	273435	3933261
65	276022	3906139
66	279273	3888987
67	282673	3874291
68	287745	3882473
69	291268	3869711
70	295345	3864447
71	298880	3852236
72	302068	3835862
73	306651	3837293
74	310737	3832423
75	315050	3830351
76	318537	3818318
77	323291	3821465
78	327547	3818627
79	332356	3822101
80	337647	3830836
81	342878	3838561
82	347474	3838963
83	351344	3831331
84	356723	3840026
85	360324	3829490
86	364717	3827441
87	368398	3817949
88	372572	3813634
89	376061	3802402
90	381005	3805869
91	385028	3800068
92	389181	3795568
93	393253	3790298
94	399516	3805921
95	403553	3800124
96	407442	3792996
97	410945	3782372
98	415650	3782843
99	419997	3779974
100	423095	3765968
101	427309	3761999
102	431037	3753790
103	434370	3742265
104	438087	3734173
105	441140	3720563
106	444474	3709490
107	448850	3707174
108	452549	3699280
109	456519	3693654
110	461011	3692243
111	465520	3690911
112	470662	3694492
113	474439	3687309
114	479851	3692773
115	482467	3676736
116	487406	3678464
117	491165	3671252
118	495841	3670890
119	499656	3664144
120	503644	3658706
121	506731	3646802
122	509563	3633226
123	513376	3626754
124	516355	3614488
125	519483	3603401
126	523033	3595337
127	526534	3587017
128	529498	3575141
129	532979	3566861
130	537389	3564820
131	541300	3559458
132	545466	3555785
133	548480	3544660
134	551251	3532091
135	554144	3520446
136	557322	3510723
137	560559	3501463
138	563453	3490166
139	566752	3481479
140	569951	3472258
141	573017	3462317
142	576502	3454983
143	580023	3447915
144	585174	3450513
145	588754	3443812
146	592282	3436848
147	597234	3438133
148	600761	3431192
149	604437	3425145
150	607696	3416780
151	611576	3411952
152	615381	3406718
153	618560	3398067
154	622266	3392356
155	625221	3382610
156	628098	3372528
157	631336	3364466
158	634355	3355300
159	637592	3347360
160	640830	3339484
161	644124	3331952
162	647029	3322477
163	649882	3312813
164	653200	3305590
165	656639	3299019
166	659357	3288888
167	662442	3280666
168	665724	3273472
169	669246	3267499
170	672175	3258675
171	675260	3250673
172	678492	3243427
173	681908	3237103
174	685003	3229300
175	688398	3222954
176	691248	3214109
177	693979	3204779
178	696603	3195035
179	699979	3188794
180	702925	3180641
181	706177	3173920
182	708749	3164200
183	711759	3156499
184	714917	3149501
185	718159	3142912
186	720610	3132922
187	723422	3124569
188	726216	3116196
189	728666	3106422
190	731784	3099549
191	735142	3093726
192	738329	3087210
193	741331	3079963
194	744560	3073699
195	747359	3065700
196	750309	3058366
197	753106	3050462
